FTno_State,Fuel_Name,FTno_FDR,Fuel_FDR,FBM,FHS_s,FHS_ns,FHS_el,FHS_b,FL_s,FL_ns,FL_el,FL_b,FL_o,FL_total,FI_s,FI_ns,FI_el,FI_b,FI_o,FI_total,Fk_s,Fk_ns,Fk_el,Fk_b,Fk_o,Fk_total,H_ns,H_el,H_o,Hk_ns,Cov_o,WF_Sav,WF_Heath,WRF_For,Spotting,Prod_BG,OFHR,WSF,FHR_s,FHR_el,FHR_b
4035,Gidgee blackwood dominated open forest,310,Acacia_woodland,Savanna,2.3,1.97,2.8,2.06,6,1,1.4,0,0,8.4,1.2,0.2,0.32,0,0,1.72,0.67,0.67,0.25,1.61,0,0.67,,,,,,0.5,,2.5,0,,5,0,,,
4036,Gidgee blackwood woodland,310,Acacia_woodland,Savanna,1.34,1.15,2.85,2.06,1.9,1.6,0.4,0,0,3.9,0.21,0.18,0,0,0,0.39,0.4,0.4,0.35,1.61,0,0.4,,,,,,0.5,,2.5,0,,4,0,,,
4037,Mixed species open forests / woodlands dominated by western whitewood boree or wooded downs,300,Woodland,Savanna,1.62,1.39,1.8,2.06,2,2.4,0.3,0,0,4.7,0.13,0.16,0,0,0,0.29,0.67,0.67,0.25,1.61,0,0.67,,,,,,0.5,,2.5,0,,4,0,,,
4038,Grassland communities associated with mixed spcies woodlands,800,Grass,Grassland,1.49,1.28,0,0,4.1,0,0,0,0,4.1,0.4,0,0,0,0,0.4,0.6,0.6,0,0,0,0.6,,,,,,,,1.2,0,,2,0,,,
4039,Sedgeland communities associated with mixed species woodlands,800,Grass,Grassland,2.01,1.72,0,0,5.9,0,0,0,0,5.9,0.6,0,0,0,0,0.6,0.6,0.6,0,0,0,0.6,,,,,,,,1.5,0,,2,0,,,
4040,Open forests in coastal locations with species such as she-oak or swamp box,150,Wet_forest,Vesta,4,3,2.83,2.06,11,2.7,2,0,8,34.9,4.33,0.53,0.42,0,0,5.28,0.67,0.67,0.25,1.61,0.3,0.67,25,1.5,20,0.3,,,,3,0,,5,0,,,
4041,Shrubland / Woodlands in coastal locations,600,Heath,Heathland,3.46,2.97,2.99,2.06,13.3,2.9,1.7,0,0,17.9,1.33,0.29,0.07,0,0,1.69,0.4,0.4,0.35,1.61,0,0.4,,1.3,,,,,0.35,2.5,0,,5,0,,,
4042,Grassland associated with woodlands in coastal locations,800,Grass,Grassland,1.41,1.21,1.8,1.59,1.4,2.4,0.3,0,0,4.1,0.15,0.25,0,0,0,0.4,0.6,0.6,0.2,1.61,0,0.6,,,,,,,,1.2,0,,2,0,,,
4043,Sedgeland associated with woodlands in coastal locations,750,Low_wetland,Grassland,2.36,2.02,3.23,2.06,3.9,3.4,3.5,0,0,10.8,0.38,0.33,0.3,0,0,1.01,0.6,0.6,0.2,1.61,0,0.6,,,,,,,,2.5,0,1,5,0,,,
4044,Forests associated with heathlands and scrubs,600,Heath,Heathland,3.7,3,3.16,1.61,18.1,2.6,3.2,1,0,24.9,3.6,0.52,0.6,0.2,0,4.92,0.67,0.67,0.25,1.7,0,0.67,,1.3,,,,,0.35,3,0,,5,0,,,
